category,evidentiary_tier,integrity_status,file_path,line_number,data_source,experiment,sample_size,independent_event_count,audit_notes
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,artifacts/evaluation/gate5_0/claim_audit.csv,384,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,385,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,386,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,387,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,388,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,389,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,390,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,391,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,392,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,393,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,394,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,395,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,396,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,397,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,398,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,399,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,400,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,401,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,402,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,403,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,404,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,405,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,406,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,407,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,408,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,409,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,410,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,411,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,412,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,413,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,414,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,415,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,416,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,417,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,418,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,419,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,420,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,421,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,422,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,423,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,424,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,425,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,426,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,427,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,428,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,429,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,430,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,431,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,432,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,433,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,434,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,435,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,436,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,437,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,438,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,439,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,440,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,441,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,442,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,443,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,444,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,445,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,446,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,447,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,448,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,449,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,450,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,451,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,452,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,453,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,454,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,455,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,456,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,457,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,458,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,459,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,460,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,461,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,462,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,463,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,464,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,465,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,466,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,467,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,468,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,469,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,470,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,471,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,472,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,473,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,474,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,475,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,476,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,477,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,478,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,479,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,480,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,481,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,482,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
