farm,model,condition,turbine_id,train_turbines,n_train_datasets,n_test_datasets,n_test_anomaly_datasets,n_test_normal_datasets,mean_coverage_fbeta,mean_earliness_ws,event_reliability_fbeta,mean_accuracy,care_score,event_recall,event_false_alarms,normal_datasets_with_alarms,fp_timestamp_rate,median_lead_time_days,status
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-5,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.8752,,,0,1,0.1248,0.0,INSUFFICIENT_DATA
Wind Farm C,isolation_forest,target_specific,CARE-WT-50,['CARE-WT-50'],2,2,1,1,0.3501,0.1473,0.0,0.9264,0.4701,0.0,0,1,0.0736,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-50,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.3087,0.1553,0.0,0.9242,0.4625,0.0,0,1,0.0758,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-52,['CARE-WT-52'],4,4,2,2,0.1129,0.0404,0.0,0.8195,0.3585,0.0,0,2,0.1805,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-52,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0841,0.0314,0.0,0.7712,0.3316,0.0,0,2,0.2288,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-53,['CARE-WT-53'],6,6,3,3,0.3197,0.1738,0.7143,0.8046,0.5634,0.3333,0,3,0.1954,14.59,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-53,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-55', 'CARE-WT-56']",52,6,3,3,0.2259,0.0958,0.7143,0.8879,0.5624,0.3333,0,3,0.1121,14.59,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-55,['CARE-WT-55'],3,3,1,2,0.218,0.0673,0.0,0.9701,0.4451,0.0,0,2,0.0299,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-55,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-56']",55,3,1,2,0.1329,0.028,0.0,0.981,0.4246,0.0,0,2,0.019,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-56,['CARE-WT-56'],2,2,1,1,0.1261,0.0387,0.0,0.9156,0.3992,0.0,0,1,0.0844,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-56,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55']",56,2,1,1,0.117,0.0358,0.0,0.9182,0.3979,0.0,0,1,0.0818,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-12,['CARE-WT-12'],3,3,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-12,"['CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",55,3,2,1,0.0091,0.0122,0.0,1.0,0.4043,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-13,['CARE-WT-13'],1,1,0,1,,,,0.9658,,,0,1,0.0342,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-13,"['CARE-WT-12', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.968,,,0,1,0.032,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,target_specific,CARE-WT-14,['CARE-WT-14'],1,1,0,1,,,,0.9391,,,0,1,0.0609,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-14,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.927,,,0,1,0.073,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,target_specific,CARE-WT-15,['CARE-WT-15'],2,2,1,1,0.0,0.0,0.0,0.9892,0.3957,0.0,0,1,0.0108,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-15,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0,0.0,0.0,0.9951,0.398,0.0,0,1,0.0049,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-16,['CARE-WT-16'],4,4,2,2,0.0,0.0262,0.8333,0.9867,0.5666,0.5,0,1,0.0133,8.611,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-16,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0,0.0249,0.8333,0.988,0.5668,0.5,0,1,0.012,6.903,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-2,['CARE-WT-2'],2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-2,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0017,0.0004,0.0,1.0,0.4004,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-21,['CARE-WT-21'],2,2,1,1,0.0,0.0,0.0,1.0,0.4,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-21,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0,0.0,0.0,1.0,0.4,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-23,['CARE-WT-23'],3,3,1,2,0.0,0.0,0.0,0.9805,0.3922,0.0,0,2,0.0195,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-23,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",55,3,1,2,0.0,0.0,0.0,0.9843,0.3937,0.0,0,2,0.0157,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-32,['CARE-WT-32'],2,2,1,1,0.0,0.0617,0.0,0.9956,0.4106,0.0,0,1,0.0044,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-32,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0,0.0705,0.0,0.9956,0.4123,0.0,0,1,0.0044,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-33,['CARE-WT-33'],2,2,1,1,0.0,0.0,0.0,0.9885,0.3954,0.0,0,1,0.0115,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-33,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0,0.0,0.0,0.9795,0.3918,0.0,0,1,0.0205,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-34,['CARE-WT-34'],4,4,2,2,0.0,0.0003,0.0,1.0,0.4001,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-34,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0,0.0003,0.0,1.0,0.4001,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-35,['CARE-WT-35'],4,4,2,2,0.0234,0.0129,0.0,0.9997,0.4072,0.0,0,1,0.0003,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-35,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0315,0.0196,0.0,0.9997,0.4101,0.0,0,1,0.0003,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-38,['CARE-WT-38'],2,2,1,1,0.6037,0.1732,0.0,1.0,0.5554,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-38,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.6234,0.1839,0.0,1.0,0.5615,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-42,['CARE-WT-42'],2,2,1,1,0.0093,0.0022,0.0,1.0,0.4023,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-42,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0078,0.0018,0.0,1.0,0.4019,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-43,['CARE-WT-43'],4,4,2,2,0.2062,0.0433,0.0,1.0,0.4499,0.0,0,1,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-43,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0338,0.0036,0.0,1.0,0.4075,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-44,['CARE-WT-44'],2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-44,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-5,['CARE-WT-5'],1,1,0,1,,,,0.9657,,,0,1,0.0343,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-5,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.9742,,,0,1,0.0258,0.0,INSUFFICIENT_DATA
Wind Farm C,zscore_threshold,target_specific,CARE-WT-50,['CARE-WT-50'],2,2,1,1,0.0659,0.0194,0.0,1.0,0.4171,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-50,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.0972,0.0297,0.0,1.0,0.4254,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-52,['CARE-WT-52'],4,4,2,2,0.0,0.0034,0.0,0.9503,0.3808,0.0,0,1,0.0497,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-52,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.0,0.0034,0.0,0.9635,0.3861,0.0,0,1,0.0365,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-53,['CARE-WT-53'],6,6,3,3,0.0,0.0076,0.0,0.9728,0.3906,0.0,0,2,0.0272,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-53,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-55', 'CARE-WT-56']",52,6,3,3,0.0,0.0079,0.0,0.9602,0.3857,0.0,0,2,0.0398,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-55,['CARE-WT-55'],3,3,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-55,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-56']",55,3,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,target_specific,CARE-WT-56,['CARE-WT-56'],2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,zscore_threshold,cross_turbine,CARE-WT-56,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55']",56,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
